3|bounds|711,390|714,390|714,403|711,403
109|bounds|797,388|823,388|823,403|797,403
8|bounds|184,418|187,418|187,433|184,433
137|bounds|282,418|306,418|306,433|282,433
7|bounds|400,419|403,419|403,433|400,433
21|bounds|498,419|514,419|514,434|498,434
2|bounds|710,417|714,417|714,433|710,433
114|bounds|796,418|824,418|824,433|796,433
107|bounds|281,447|307,447|307,463|281,463
4|bounds|401,447|404,447|404,461|401,461
75|bounds|498,447|514,447|514,461|498,461
0|bounds|604,448|607,448|607,462|604,462
2|bounds|711,447|714,447|714,461|711,461
30|bounds|803,447|817,447|817,463|803,463
1|bounds|182,447|186,447|186,463|182,463
0|bounds|182,475|185,475|185,490|182,490
99|bounds|287,476|301,475|302,491|288,492
0|bounds|399,477|402,477|402,491|399,491
58|bounds|498,476|514,477|513,493|497,492
0|bounds|604,477|607,477|607,490|604,490
1|bounds|711,476|714,476|714,491|711,491
40|bounds|801,476|817,474|818,489|803,491
8|bounds|184,506|187,506|187,520|184,520
85|bounds|288,505|302,505|302,520|288,520
11|bounds|393,505|409,505|409,520|393,520
19|bounds|498,506|514,506|514,520|498,520
0|bounds|604,507|607,507|607,520|604,520
0|bounds|711,506|714,506|714,519|711,519
66|bounds|801,505|817,505|817,519|801,519
7|bounds|183,535|186,535|186,549|183,549
85|bounds|286,535|302,535|302,550|286,550
7|bounds|400,535|403,535|403,549|400,549
26|bounds|500,535|513,535|513,549|500,549
0|bounds|604,536|607,536|607,549|604,549
0|bounds|711,535|714,535|714,549|711,549
59|bounds|802,535|818,535|818,550|802,550
3|bounds|183,564|187,564|187,580|183,580
1|bounds|399,564|400,564|400,579|399,579
45|bounds|500,564|514,565|513,581|499,580
0|bounds|604,565|607,565|607,578|604,578
2|bounds|713,565|716,565|716,579|713,579
32|bounds|802,564|818,564|818,579|802,579
79|bounds|285,564|302,564|302,580|285,580
73|bounds|286,592|303,592|303,608|286,608
3|bounds|183,594|186,594|186,608|183,608
9|bounds|401,594|404,594|404,607|401,607
35|bounds|498,594|514,594|514,608|498,608
0|bounds|604,594|607,594|607,607|604,607
0|bounds|711,594|714,594|714,607|711,607
38|bounds|803,594|819,594|819,609|803,609
71|bounds|286,623|302,623|302,637|286,637
7|bounds|399,623|402,623|402,637|399,637
31|bounds|498,623|514,623|514,637|498,637
0|bounds|604,624|607,624|607,637|604,637
3|bounds|712,621|713,621|713,638|712,638
37|bounds|803,623|817,623|817,638|803,638
N|bounds|177,636|177,634|188,634|188,636
1|bounds|182,651|185,651|185,666|182,666
67|bounds|287,652|302,652|302,666|287,666
7|bounds|399,652|402,652|402,665|399,665
36|bounds|498,652|514,652|514,666|498,666
0|bounds|604,652|607,652|607,665|604,665
0|bounds|710,653|713,653|713,666|710,666
31|bounds|803,652|817,652|817,668|803,668
4|bounds|184,681|187,681|187,695|184,695
65|bounds|287,681|301,681|301,696|287,696
0|bounds|399,682|402,682|402,695|399,695
43|bounds|498,681|514,681|514,695|498,695
0|bounds|604,682|607,682|607,695|604,695
4|bounds|711,682|714,682|714,695|711,695
18|bounds|802,681|820,681|820,695|802,695
N|bounds|176,721|176,719|188,719|188,721
64|bounds|286,709|303,710|302,727|285,726
48|bounds|498,710|514,709|515,724|499,725
0|bounds|605,710|608,710|608,725|605,725
15|bounds|802,710|818,711|817,727|801,726
5|bounds|183,739|186,739|186,754|183,754
64|bounds|287,740|305,740|305,754|287,754
0|bounds|400,740|403,740|403,754|400,754
28|bounds|498,740|514,740|514,754|498,754
1|bounds|605,740|608,740|608,753|605,753
5|bounds|711,740|714,740|714,754|711,754
31|bounds|803,740|817,740|817,755|803,755
मथुरा|bounds|42,679|75,679|75,698|42,698
राय|bounds|26,705|47,704|48,723|27,724
बरेली|bounds|58,703|89,701|90,720|59,722
संत|bounds|10,731|27,731|26,752|9,752
कबीर|bounds|36,732|69,733|68,754|35,753
नगर|bounds|80,733|106,734|105,755|79,754
सुल्तानपुर|bounds|28,766|91,766|91,787|28,787
लखीमपुर|bounds|11,790|68,788|69,814|12,816
-|bounds|70,789|76,789|77,814|71,814
खीरी|bounds|80,788|105,787|106,813|81,814
प्रतापगढ़|bounds|31,823|85,822|85,840|31,841
अमरोहा|bounds|37,848|84,849|84,871|37,870
2|bounds|182,766|183,766|183,785|182,785
62|bounds|286,769|304,769|304,783|286,783
0|bounds|399,769|402,769|402,782|399,782
5|bounds|505,768|508,768|508,782|505,782
0|bounds|604,769|607,769|607,782|604,782
0|bounds|711,769|714,769|714,782|711,782
57|bounds|802,768|818,768|818,782|802,782
0|bounds|182,799|185,799|185,813|182,813
60|bounds|286,797|302,799|300,814|284,812
0|bounds|399,799|402,799|402,813|399,813
15|bounds|497,798|515,798|515,812|497,812
0|bounds|604,799|607,799|607,812|604,812
45|bounds|803,798|817,800|815,814|801,813
0|bounds|709,798|713,798|713,814|709,814
3|bounds|711,826|715,826|715,842|711,842
1|bounds|183,827|183,827|183,842|183,842
60|bounds|285,826|300,824|302,840|287,842
1|bounds|400,827|401,827|401,841|400,841
15|bounds|496,826|512,824|514,839|498,841
1|bounds|605,826|608,826|608,840|605,840
42|bounds|802,826|818,826|818,841|802,841
3|bounds|183,852|184,852|184,871|183,871
59|bounds|286,856|302,856|302,872|286,872
0|bounds|399,857|402,857|402,871|399,871
31|bounds|497,856|514,856|514,872|497,872
0|bounds|604,857|607,857|607,870|604,870
27|bounds|804,856|817,855|818,870|805,871
